oil_price,day,month,year,day_of_year,holiday_type_National,holiday_type_Regional,holiday_type_Local,work_day,event,earthquake,christmas,football,black_friday,cyber_monday,carnival,day_of_week_0,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
0.7929645860476134,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7929645860476134,0.03333333333333333,0.0,0.0,0.0027397260273972603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7909510837380077,0.06666666666666668,0.0,0.0,0.0054794520547945215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.792727703422954,0.1,0.0,0.0,0.008219178082191782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7932014686722727,0.13333333333333333,0.0,0.0,0.010958904109589041,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.7936752339215919,0.16666666666666669,0.0,0.0,0.013698630136986304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7936752339215919,0.2,0.0,0.0,0.016438356164383564,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7937936752339215,0.23333333333333334,0.0,0.0,0.019178082191780823,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.792253938173635,0.26666666666666666,0.0,0.0,0.021917808219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8009001539737061,0.3,0.0,0.0,0.024657534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.7984128864147814,0.3333333333333333,0.0,0.0,0.027397260273972605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8020845670970033,0.3666666666666667,0.0,0.0,0.030136986301369868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8061115717162145,0.4,0.0,0.0,0.03287671232876712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.806348454340874,0.43333333333333335,0.0,0.0,0.03561643835616438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7943858817955703,0.4666666666666667,0.0,0.0,0.03835616438356164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8064668956532038,0.5,0.0,0.0,0.0410958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8207982944451023,0.5333333333333333,0.0,0.0,0.043835616438356165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8222195901930592,0.5666666666666667,0.0,0.0,0.04657534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8248252990643136,0.6,0.0,0.0,0.049315068493150684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8276678905602274,0.6333333333333333,0.0,0.0,0.05205479452054794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8279047731848869,0.6666666666666666,0.0,0.0,0.0547945205479452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8279047731848869,0.7,0.0,0.0,0.057534246575342465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8157053180149235,0.7333333333333333,0.0,0.0,0.06027397260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8191401160724859,0.7666666666666667,0.0,0.0,0.06301369863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8167712898258913,0.8,0.0,0.0,0.06575342465753424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8211536183820917,0.8333333333333334,0.0,0.0,0.0684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8258912708752814,0.8666666666666667,0.0,0.0,0.07123287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
